,x_min,y_min,z_min,x_max,y_max,z_max,x_std,y_std,z_std,x_mean,y_mean,z_mean,x_slope,y_slope,z_slope,x_zc,y_zc,z_zc,x_mmd,y_mmd,z_mmd,label,label_subcategory
0,-14544,-665,-7219,8431,30719,20142,2660,5891,5347,-85,5745,12738,6,12,-15,16717,3343,11702,228520,417456,485589,0,SLW
1,-12556,3023,-7598,11562,30796,16213,3819,5037,3896,-958,16153,1896,-4,-1,4,70215,0,108666,42594,811291,744325,0,SLW
2,-4646,13878,-2099,2777,18365,4461,767,375,890,-1341,16410,577,-3,0,0,1671,0,53497,158993,20557,409640,0,SLW
3,-9623,12957,-380,347,17129,6805,1177,684,1354,-1463,16253,976,-6,-1,1,6687,0,23405,546764,27071,974677,0,SLW
4,-12195,1131,-7035,9801,30785,19763,3996,6207,4288,-1019,16278,1825,11,0,0,78573,0,137086,819470,704446,695978,0,SLW
5,-12524,512,-8538,10902,31152,19892,4061,6165,4373,-941,16390,2075,-4,-8,-1,88604,0,133742,1147084,352409,834705,0,SLW
6,-13635,1096,-8101,12589,30927,18996,4146,6330,4621,-1054,16094,2410,1,5,1,73558,0,138758,695957,35042,320458,0,SLW
7,-12853,1308,-7928,9366,30651,19147,3858,6030,4521,-986,16445,1812,0,-5,-3,66871,0,122040,313412,388962,669262,0,SLW
8,-11576,-786,-9660,11829,31115,17165,4227,6615,4825,-1274,16141,1982,0,9,2,68543,3343,108666,771048,36822,1036854,0,SLW
9,-10540,2873,-7788,9140,31200,19139,4052,6232,4374,-927,16402,1712,1,1,-1,76902,0,125383,1658528,786249,1142147,0,SLW
10,-11813,2390,-8232,10003,31162,20344,4220,6577,4993,-1111,16111,1859,2,5,3,63527,0,105322,47146,1775669,514033,0,SLW
11,-12613,-424,-9103,10916,30934,18272,4207,6427,4600,-899,16390,1851,-7,-2,4,68543,3343,133742,772723,1484876,690990,0,SLW
12,-13461,1307,-7785,11028,31197,18453,4111,6346,4815,-1176,16079,1989,3,-14,-4,60184,0,123712,47006,55539,700969,0,SLW
13,-12756,-1231,-7683,12488,31078,19202,4372,6414,4546,-834,16201,1665,0,17,2,68543,3343,127055,1458015,696212,700993,0,SLW
14,-12651,2219,-9764,9346,31011,20627,4114,6045,4648,-1089,16381,1645,0,-9,-2,66871,0,123712,1078526,427276,1374543,0,SLW
15,-10593,-1385,-10234,10665,31378,18781,3280,6361,4247,-1281,15710,3586,2,3,1,95291,3343,70215,221697,1473207,302317,0,SLW
16,-12038,-3026,-13128,12388,31303,18659,3646,6188,4189,-1096,16009,2978,-2,-5,1,98635,6687,96963,35007,754756,327544,0,SLW
17,-13241,4212,-10830,9519,31512,19839,3711,6167,4621,-1259,15860,3184,8,3,-2,95291,0,93620,797766,655908,719521,0,SLW
18,-12262,-1310,-7559,8960,30790,18253,4125,6331,4242,-790,16118,2010,-5,-2,-1,80245,6687,128727,198408,38766,44933,0,SLW
19,-12914,-373,-12495,12166,31605,19190,3999,6219,4597,-1027,16533,1847,-2,-2,-1,85261,3343,125383,784468,352528,42564,0,SLW
20,-12661,-2147,-13094,10224,32025,19632,3837,7104,4596,-1211,15971,1991,3,0,0,71886,3343,113681,1299179,1861011,1533376,0,SLW
21,-14232,-489,-10032,12813,31059,19134,4150,5750,4070,-1398,16168,1969,-3,6,2,65199,3343,125383,1100367,322529,894880,0,SLW
22,-10131,417,-5392,9988,31081,7749,2332,3187,1551,-2104,16133,1455,-4,-12,5,20061,0,40122,125337,98513,25397,0,SLW
23,-13096,-7814,6870,10564,17770,19416,3996,4352,2150,402,-1260,14711,6,-1,7,35107,15046,0,786095,184011,964701,0,SLW
24,-1151,-4091,13650,2428,-337,17334,631,735,531,546,-1969,15741,0,0,0,76902,0,0,1307341,565076,942894,0,SLW
25,-3227,-4265,11552,1997,92,19510,812,665,792,605,-2529,15625,0,-1,0,30092,3343,0,713871,411282,27907,0,SLW
26,-12863,-10304,-6463,5463,30999,27715,3844,7763,5122,-1519,2031,12775,0,14,-14,50153,5015,8358,126716,526563,823228,0,SLW
27,-6753,4523,-1591,3627,27038,13779,1262,1548,1704,-1923,16248,1177,-3,2,1,11702,0,31763,109160,37582,491745,0,SLW
28,-2845,15629,-1707,-774,17228,1223,342,157,625,-1728,16386,-390,0,0,-2,0,0,8358,1001401,13469,1914196,0,SLW
29,-1994,16024,-2223,7,17159,-178,343,137,482,-1216,16430,-1144,0,0,1,3343,0,0,1599900,21762,1695191,0,SLW
0,-3949,7787,-6709,10942,28508,11105,2917,3566,2930,2477,16201,-1207,-6,0,-1,55168,0,51825,316318,1058443,879539,0,STN
1,-4318,7213,-8831,9716,27030,9689,2696,3711,3059,3242,16341,-408,10,0,3,25076,0,18389,137803,373334,269793,0,STN
0,-2694,456,-4869,21752,17450,8706,5895,5260,3001,11068,7681,4292,13,-11,7,8358,0,8358,311911,388226,326280,0,SCH
0,-18487,-32505,-22988,20811,-296,13024,4052,5611,5746,1501,-15483,-1620,1,0,0,68543,0,60184,168482,679508,536182,0,STN
1,194,-16252,1571,875,-15919,1982,127,57,82,540,-16110,1775,0,0,0,0,0,0,106996,912795,623576,0,STN
0,-9488,-13461,-683,-9000,-13115,944,64,54,185,-9264,-13300,181,0,0,0,0,0,30092,889390,881031,28466,0,STD
1,-9413,-13446,21,-9080,-13200,363,51,41,59,-9225,-13320,194,0,0,0,0,0,0,86933,665370,50154,0,STD
2,-9863,-14002,-2874,-8380,-12828,2454,167,109,288,-9188,-13339,242,0,0,0,0,0,40122,180558,8440,11358,0,STD
3,-9472,-13589,15,-8844,-13052,703,71,60,89,-9211,-13306,383,0,0,0,0,0,0,225691,230707,127057,0,STD
4,-9714,-13736,-472,-8649,-12891,765,163,123,214,-9207,-13313,223,0,0,0,0,0,25076,735586,728899,75240,0,STD
5,-9796,-13773,-595,-8427,-13051,739,157,94,196,-9203,-13319,105,0,0,0,0,0,75230,35134,441352,21774,0,STD
6,-9715,-13703,-762,-8748,-12989,640,133,84,197,-9243,-13278,149,0,0,0,0,0,23405,113685,113683,150467,0,STD
