,x_min,y_min,z_min,x_max,y_max,z_max,x_std,y_std,z_std,x_mean,y_mean,z_mean,x_slope,y_slope,z_slope,x_zc,y_zc,z_zc,x_mmd,y_mmd,z_mmd,label,label_subcategory
0,-11,-19,-11,8,1,9,2,6,1,0,-7,0,0,0,0,53,27,74,23,295,23,0,JUM
1,-9,-19,-7,11,2,8,2,7,2,0,-7,0,0,0,0,77,31,83,1065,116,73,0,JUM
2,-9,-19,-8,7,2,8,2,7,1,0,-6,0,0,0,0,72,32,99,1178,565,335,0,JUM
3,-11,-19,-8,12,1,7,3,7,1,0,-7,0,0,0,0,77,38,92,164,557,170,0,JUM
4,-11,-19,-8,11,3,10,3,7,2,0,-6,0,0,0,0,71,42,103,334,34,20,0,JUM
0,-10,-3,-4,6,19,9,2,7,2,0,6,1,0,0,0,77,44,59,325,604,62,0,JUM
1,-11,-2,-3,5,19,10,2,8,2,0,6,1,0,0,0,92,56,78,853,191,257,0,JUM
2,-8,-2,-4,5,19,9,2,8,2,0,6,1,0,0,0,87,56,70,821,34,355,0,JUM
3,-9,-2,-4,9,19,9,2,8,2,0,6,1,0,0,0,95,52,63,315,332,146,0,JUM
4,-8,-2,-3,9,19,11,2,8,2,0,6,1,0,0,0,78,46,62,499,177,460,0,JUM
0,-17,-5,-10,2,19,16,3,7,3,-2,7,1,0,0,0,34,30,65,469,76,300,0,JUM
1,-13,-4,-11,3,19,15,3,8,3,-1,6,1,0,0,0,49,24,76,460,456,311,0,JUM
2,-17,-3,-12,8,19,17,3,8,4,-1,5,1,0,0,0,62,25,77,335,268,532,0,JUM
3,-17,-3,-13,5,19,18,3,8,5,-1,5,1,0,0,0,61,27,75,723,786,237,0,JUM
4,-16,-2,-15,5,19,16,2,8,5,0,6,1,0,0,0,67,30,67,558,235,216,0,JUM
0,-3,-3,-6,12,19,14,2,7,2,1,6,1,0,0,0,56,24,51,806,174,387,0,JUM
1,-6,-3,-8,13,19,15,3,8,3,2,6,1,0,0,0,73,28,64,575,272,285,0,JUM
2,-6,-4,-6,14,19,14,3,8,2,2,6,1,0,0,0,60,40,63,748,122,21,0,JUM
3,-3,-3,-4,14,19,14,3,8,3,2,6,1,0,0,0,56,44,65,23,878,856,0,JUM
4,-4,-3,-4,15,19,13,3,8,2,1,5,1,0,0,0,59,46,66,82,174,281,0,JUM
0,-6,-19,-6,8,5,8,3,7,2,0,-6,0,0,0,0,59,32,103,535,502,869,0,JUM
1,-5,-19,-6,9,4,11,2,8,2,0,-7,0,0,0,0,73,40,133,22,580,215,0,JUM
2,-7,-19,-6,9,4,11,3,8,2,0,-6,0,0,0,0,76,45,127,157,52,341,0,JUM
3,-7,-19,-7,9,5,12,3,8,2,0,-6,0,0,0,0,80,49,128,26,35,20,0,JUM
4,-7,-19,-6,9,4,11,3,8,1,0,-6,0,0,0,0,72,44,117,23,322,18,0,JUM
0,-17,-3,-4,3,19,10,3,7,2,-3,7,1,0,0,0,34,28,75,526,413,180,0,JUM
1,-15,-2,-4,4,19,9,3,8,2,-2,7,1,0,0,0,44,38,65,147,521,262,0,JUM
2,-10,-2,-8,3,19,8,2,8,2,-2,8,1,0,0,0,44,32,66,681,335,104,0,JUM
3,-12,-2,-3,4,19,9,2,8,2,-1,8,1,0,0,0,69,30,57,444,400,347,0,JUM
4,-8,-1,-4,6,19,8,2,8,2,0,8,1,0,0,0,59,28,45,97,573,104,0,JUM
0,-5,-8,-9,19,19,13,5,7,3,4,6,0,0,0,0,37,39,74,521,223,32,0,JUM
1,-3,-10,-9,18,19,12,5,8,2,4,6,0,0,0,0,43,47,60,639,539,583,0,JUM
2,-6,-7,-11,19,19,16,5,8,4,4,6,0,0,0,0,40,52,71,643,741,81,0,JUM
3,-4,-7,-12,19,19,16,5,8,3,3,6,1,0,0,0,41,38,68,630,363,457,0,JUM
4,-6,-5,-10,18,19,16,5,8,3,3,6,1,0,0,0,39,27,67,708,366,28,0,JUM
0,-1,-1,-3,10,19,7,2,7,1,1,8,0,0,0,0,46,24,66,205,403,197,0,JUM
1,-1,-2,-2,9,19,6,2,8,1,2,7,0,0,0,0,43,26,62,126,265,277,0,JUM
2,-1,-2,-2,10,19,7,2,8,2,2,7,0,0,0,0,53,24,67,174,166,308,0,JUM
3,-1,-2,-2,11,19,6,2,8,2,2,7,1,0,0,0,50,29,61,151,793,80,0,JUM
4,-1,-2,-2,14,19,7,3,8,2,2,7,0,0,0,0,56,23,56,240,36,748,0,JUM
0,-7,-3,-5,10,19,10,2,7,2,0,8,0,0,0,0,69,28,81,705,126,17,0,JUM
1,-9,-5,-3,11,19,8,2,7,1,0,8,1,0,0,0,74,30,74,782,42,180,0,JUM
2,-7,-4,-9,14,19,11,3,7,2,1,8,1,0,0,0,68,30,69,191,499,281,0,JUM
3,-6,-4,-4,14,19,8,2,7,2,1,8,1,0,0,0,61,32,64,194,674,330,0,JUM
4,-5,-3,-3,12,19,8,2,7,2,1,8,1,0,0,0,67,31,71,963,840,238,0,JUM
0,-7,-1,-6,9,19,4,2,7,1,0,8,-1,0,0,0,54,30,85,92,413,150,0,JUM
1,-10,-2,-8,8,19,3,3,7,1,0,8,-1,0,0,0,72,42,86,839,195,549,0,JUM
2,-14,-2,-8,12,19,4,3,8,2,0,7,-1,0,0,0,84,45,74,245,732,62,0,JUM
3,-12,-2,-11,8,19,6,3,8,2,0,7,-1,0,0,0,84,41,83,382,51,224,0,JUM
4,-12,-2,-13,11,19,6,3,8,2,0,7,-1,0,0,0,66,34,87,309,121,185,0,JUM
0,-13,-3,-9,6,19,11,2,7,2,0,7,0,0,0,0,72,29,86,465,315,20,0,JUM
1,-11,-2,-7,9,19,12,2,8,2,0,7,0,0,0,0,73,42,93,289,249,20,0,JUM
2,-8,-3,-8,11,19,11,3,8,2,0,7,0,0,0,0,76,43,98,478,544,90,0,JUM
3,-8,-2,-7,12,19,12,3,8,2,0,7,0,0,0,0,71,48,92,745,222,21,0,JUM
4,-7,-3,-5,12,19,9,3,8,2,0,7,0,0,0,0,69,50,98,21,70,1051,0,JUM
0,-9,-2,-6,8,19,12,2,7,3,0,7,1,0,0,0,71,26,79,193,63,379,0,JUM
1,-10,-2,-5,8,19,13,3,7,3,0,6,1,0,0,0,79,30,75,191,470,452,0,JUM
2,-10,-1,-5,6,19,12,2,7,3,0,7,1,0,0,0,75,30,71,190,669,460,0,JUM
3,-16,-8,-13,14,19,15,4,7,4,0,5,1,0,0,0,69,42,94,34,856,108,0,JUM
4,-16,-7,-12,15,19,17,5,7,5,0,5,1,0,0,0,74,56,81,103,860,196,0,JUM
0,-4,-2,-5,8,19,12,1,7,2,0,7,2,0,0,0,70,28,39,94,271,105,0,JUM
1,-7,-3,-3,8,19,14,2,7,3,0,7,2,0,0,0,90,36,59,96,1090,22,0,JUM
2,-9,-3,-3,12,19,12,2,7,3,0,7,2,0,0,0,85,32,47,96,51,495,0,JUM
3,-10,-1,-3,7,19,12,2,7,2,0,6,2,0,0,0,92,38,44,87,456,469,0,JUM
4,-9,-2,-3,7,19,12,2,7,3,0,6,2,0,0,0,85,42,36,83,32,229,0,JUM
0,-18,-1,-7,4,19,11,5,7,2,-4,7,0,0,0,0,29,26,81,121,640,532,0,JUM
1,-18,-2,-9,4,19,11,5,7,2,-3,7,0,0,0,0,37,34,88,346,849,22,0,JUM
2,-17,-3,-7,5,19,10,4,7,2,-3,7,0,0,0,0,36,22,83,200,30,563,0,JUM
3,-16,-3,-10,6,19,13,4,7,3,-2,7,0,0,0,0,38,34,78,276,373,248,0,JUM
4,-16,-2,-8,5,19,12,4,7,2,-2,7,0,0,0,0,40,28,68,204,860,87,0,JUM
0,-2,-3,-3,10,19,11,2,7,1,2,8,1,0,0,0,26,20,54,23,316,16,0,JUM
1,-4,-3,-5,13,19,14,2,8,2,1,8,1,0,0,0,48,30,73,704,817,98,0,JUM
2,-9,-2,-8,6,19,14,2,8,2,0,8,1,0,0,0,72,30,71,473,160,25,0,JUM
